Agent,Synonyms
"Other cobalt(II) compounds (not including Soluble cobalt(II) salts, Cobalt(II) oxide, Cobalt(II,III) oxide, and Cobalt(II) sulfide)","['Cobaltous compounds', 'Cobaltous salts', 'Divalent cobalt compounds', 'Insoluble cobalt compounds', 'Cobalt(II) complexes', 'Cobalt(II) hydroxides', 'Cobalt(II) carbonates', 'Cobalt(II) phosphates', 'Cobalt(II) sulfates', 'Inorganic cobalt compounds', 'Cobalt compounds', 'Chemical compounds', 'Metallic compounds', 'Cobaltous oxide compounds', 'Divalent metal compounds']"
Outdoor air pollution,"['Ambient air pollution', 'Air pollution', 'Environmental pollution', 'Smog', 'Air contaminants', 'Polluted air', 'Outdoor pollution', 'Particulate air pollution', 'Gaseous air pollution', 'Atmospheric pollution', 'Air quality degradation', 'Urban air pollution', 'Industrial air pollution', 'Vehicle emissions', 'Pollutant exposure']"
"Outdoor air pollution, particulate matter in","['PM2.5', 'PM10', 'Particulate pollution', 'Airborne particles', 'Fine particulate matter', 'Coarse particulate matter', 'Inhalable particles', 'Respirable particles', 'Ambient particulate matter', 'Air pollution particles', 'Environmental particles', 'Air contaminants', 'Outdoor particles', 'Solid particles', 'Liquid particles']"
Oxymetholone (see Androgenic (anabolic) steroids),['<no synonym>']
Paint manufacture (occupational exposure in),"['Paint production', 'Paint industry', 'Coating production', 'Coating industry', 'Pigment production', 'Pigment industry', 'Industrial manufacturing', 'Chemical manufacturing', 'Chemical industry', 'Occupational exposure', 'Paint workers', 'Industrial workers', 'Manufacturing workers', 'Factory workers', 'Chemical workers']"
Painter (occupational exposure as a),"['House painter', 'Industrial painter', 'Commercial painter', 'Decorative painter', 'Coating applicator', 'Surface finisher', 'Building painter', 'Construction painter', 'Painting contractor', 'Paint sprayer', 'Paint brush user', 'Wall painter', 'Occupational exposure', 'Construction worker', 'Tradesperson']"
"Particulate matter in outdoor air pollution (see Outdoor air pollution, particulate matter in)",['<no synonym>']
Paving and roofing with coal-tar pitch (see Coal-tar pitch),['<no synonym>']
Pentavalent antimony,"['Antimony(V)', 'Antimony pentoxide', 'Antimony pentachloride', 'Sb(V)', 'Sb5+', 'Higher oxidation state antimony', 'Antimony compounds', 'Chemical compounds', 'Metallic compounds', 'Inorganic compounds', 'Antimony salts', 'Antimony oxides', 'Antimony halides', 'Pentavalent metal', 'Group 15 element']"
Petroleum refining (occupational exposures in),"['Oil refining', 'Crude oil processing', 'Petrochemical processing', 'Oil industry', 'Refinery work', 'Oil refinery', 'Chemical processing', 'Industrial processing', 'Occupational exposure', 'Petroleum workers', 'Refinery workers', 'Chemical workers', 'Industrial workers', 'Process operators', 'Chemical operators']"
Petroleum solvents,"['Petroleum distillates', 'Mineral spirits', 'White spirits', 'Naphtha', 'Stoddard solvent', 'Aliphatic hydrocarbons', 'Aromatic hydrocarbons', 'Hydrocarbon solvents', 'Organic solvents', 'Degreasers', 'Cleaning solvents', 'Industrial solvents', 'Paint thinners', 'Dry cleaning fluids', 'Extraction solvents']"
"Phenacetin, analgesic mixtures containing","['Compound analgesics', 'Combination pain relievers', 'Phenacetin-containing drugs', 'Analgesic mixtures', 'Painkillers', 'Medications', 'Pharmaceuticals', 'Drug combinations', 'Pain relievers', 'Analgesic drugs', 'Over-the-counter drugs', 'Prescription drugs', 'Medicine combinations', 'Compound medicines', 'Drug formulations']"
Pickled vegetables (traditional Asian),"['Fermented vegetables', 'Asian pickles', 'Korean kimchi', 'Japanese tsukemono', 'Chinese pickles', 'Salted vegetables', 'Lacto-fermented vegetables', 'Pickled cabbage', 'Pickled radish', 'Pickled cucumbers', 'Vegetable preserves', 'Traditional Asian cuisine', 'Asian food', 'Fermented food', 'Probiotic food']"
"Polychlorinated biphenyls, dioxin-like, with a Toxicity Equivalency Factor (TEF) according to WHO (PCBs 77, 81, 105, 114, 118, 123, 126, 156, 157, 167, 169, 189)","['Dioxin-like PCBs', 'TEF PCBs', 'Toxic PCBs', 'Persistent organic pollutants (POPs)', 'Chlorinated biphenyls', 'Congeners', 'Environmental contaminants', 'Industrial pollutants', 'Chemical pollutants', 'WHO-TEQ PCBs', 'PCB mixtures', 'PCB congeners', 'PCB isomers', 'PCB compounds', 'Halogenated aromatic hydrocarbons']"
"Polychlorinated dibenzo-para-dioxins (other than 2,3,7,8-tetrachlorodibenzo-para-dioxin)","['PCDDs', 'Dioxins', 'Chlorinated dioxins', 'TCDD equivalents', 'Toxic dioxins', 'Persistent organic pollutants (POPs)', 'Environmental contaminants', 'Industrial pollutants', 'Chemical pollutants', 'Dioxin congeners', 'Chlorinated aromatic hydrocarbons', 'Halogenated aromatic hydrocarbons', 'Aromatic compounds', 'Organic pollutants', 'Chemical compounds']"
"Polychlorinated dibenzofurans (see 2,3,4,7,8-Pentachlorodibenzofuran)",['<no synonym>']
"Polychlorophenols and their sodium salts (mixed exposures) (see Pentachlorophenol; 2,4,6-Trichlorophenol)",['<no synonym>']
Polymeric implant prepared as thin smooth films (with the exception of poly-glycolic acid),"['Polymer films', 'Thin film implants', 'Smooth surface implants', 'Surgical implants', 'Orthopedic implants', 'Biomedical implants', 'Medical devices', 'Implant materials', 'Implantable devices', 'Biocompatible polymers', 'Polymer coatings', 'Thin polymer layers', 'Smooth polymer surfaces', 'Polished polymer implants', 'Polymer membranes']"
Printing inks,"['Ink formulations', 'Printing dyes', 'Pigmented inks', 'Colored inks', 'Lithographic inks', 'Letterpress inks', 'Flexographic inks', 'Gravure inks', 'Screen printing inks', 'Ink compositions', 'Ink pigments', 'Ink solvents', 'Ink resins', 'Ink additives', 'Colored substances']"
Printing processes (occupational exposures in),"['Printing industry', 'Lithography', 'Letterpress printing', 'Flexography', 'Gravure printing', 'Screen printing', 'Offset printing', 'Digital printing', 'Inkjet printing', 'Publishing industry', 'Occupational exposure', 'Printing workers', 'Industrial workers', 'Manufacturing workers', 'Factory workers']"
Processed meat (consumption of),"['Cured meat', 'Smoked meat', 'Salted meat', 'Preserved meat', 'Canned meat', 'Sausage', 'Bacon', 'Ham', 'Deli meat', 'Cold cuts', 'Meat products', 'Prepared meat', 'Meat processing', 'Meat industry', 'Preserved foods']"
Proflavine salts,"['Proflavine hemisulfate', 'Proflavine dihydrochloride', 'Acridine dyes', 'Antiseptics', 'Disinfectants', 'Topical antiseptics', 'Wound antiseptics', 'Acridine derivatives', 'Aromatic compounds', 'Chemical compounds', 'Organic salts', 'Proflavine', 'Dye', 'Medication', 'Chemical agent']"
Progestins (see also Progestogen-only contraceptives),['<no synonym>']
Progestogen-only contraceptives,"['Progesterone-only pills (POPs)', 'Mini-pills', 'Progestin contraceptives', 'Oral contraceptives (progestogen-only)', 'Contraceptive pills (progestogen-only)', 'Hormone-based contraceptives', 'Birth control pills (progestogen-only)', 'Family planning pills', 'Contraceptives', 'Gestagens', 'Synthetic progestogens', 'Hormone therapy', 'Contraception', 'Birth control', 'Hormonal contraceptives']"
Pulp and paper manufacture,"['Papermaking', 'Paper production', 'Pulp production', 'Paper industry', 'Pulp industry', 'Wood pulp production', 'Chemical pulping', 'Mechanical pulping', 'Paper mill operations', 'Pulp mill operations', 'Forest products industry', 'Wood processing industry', 'Industrial manufacturing', 'Chemical processing', 'Environmental pollution']"
Radiofrequency electromagnetic fields,"['RF radiation', 'RF energy', 'RF waves', 'Radio waves', 'Microwaves', 'Wireless communication signals', 'Cell phone radiation', 'Wi-Fi radiation', 'Electromagnetic radiation (RF)', 'Non-ionizing radiation', 'Radio frequency energy', 'Electromagnetic fields', 'Electromagnetic waves', 'RF fields', 'Wireless technology radiation']"
"Radioiodines, including iodine-131","['Radioactive iodine', 'I-131', 'Radioactive isotopes of iodine', 'Radioactive iodide', 'Iodide isotopes', 'Nuclear medicine isotopes', 'Thyroid cancer treatment', 'Thyroid imaging agent', 'Radiation therapy isotopes', 'Beta-emitting isotopes', 'Gamma-emitting isotopes', 'Radioactive tracers', 'Medical isotopes', 'Diagnostic isotopes', 'Therapeutic isotopes']"
"Radionuclides, alpha-particle-emitting, internally deposited","['Alpha emitters', 'Alpha radiation', 'Alpha-emitting isotopes', 'Radioactive isotopes', 'Radioactive particles', 'Internal radiation', 'Internal contamination', 'Radionuclide contamination', 'Alpha decay', 'Radiation exposure', 'Radiation hazards', 'Radiation risks', 'Nuclear medicine', 'Radioactive materials', 'Alpha-emitting radionuclides']"
"Radionuclides, beta-particle-emitting, internally deposited","['Beta emitters', 'Beta radiation', 'Beta-emitting isotopes', 'Radioactive isotopes', 'Radioactive particles', 'Internal radiation', 'Internal contamination', 'Radionuclide contamination', 'Beta decay', 'Radiation exposure', 'Radiation hazards', 'Radiation risks', 'Nuclear medicine', 'Radioactive materials', 'Beta-emitting radionuclides']"
Red meat (consumption of),"['Beef', 'Pork', 'Lamb', 'Veal', 'Mutton', 'Meat intake', 'Meat consumption', 'Dietary red meat', 'Red muscle meat', 'Processed red meat', 'Fresh red meat', 'Animal protein', 'Iron-rich meat', 'High-fat meat', 'Dietary source']"
Refractory ceramic fibres,"['RCF', 'Alumino-silicate fibres', 'Ceramic fibres', 'High-temperature insulation', 'Man-made vitreous fibres (MMVF)', 'Synthetic vitreous fibres (SVF)', 'Synthetic mineral fibres (SMF)', 'Insulation fibres', 'High-temperature insulation fibres', 'High-performance insulation', 'Fiber insulation', 'High-temperature textiles', 'Fire-resistant materials', 'Industrial insulation', 'Refractory materials']"
Rock (stone) wool,"['Stone wool insulation', 'Mineral wool insulation', 'Slag wool insulation', 'Man-made vitreous fibre (MMVF)', 'Synthetic vitreous fibre (SVF)', 'Synthetic mineral fibre (SMF)', 'Mineral fibre insulation', 'Building insulation', 'Thermal insulation', 'Acoustic insulation', 'Insulation material', 'Fiber insulation', 'Insulation batt', 'Insulation roll', 'Loose-fill insulation']"
Rubber manufacturing industry,"['Rubber production', 'Rubber processing', 'Rubber industry', 'Tire manufacturing', 'Synthetic rubber production', 'Natural rubber production', 'Industrial manufacturing', 'Chemical processing', 'Occupational exposure', 'Rubber workers', 'Industrial workers', 'Manufacturing workers', 'Factory workers', 'Chemical workers', 'Tyre manufacturing industry']"
SV40 polyomavirus,"['Simian virus 40', 'SV40', 'Simian vacuolating virus 40', 'Macaca mulatta polyomavirus 1', 'Macaque polyomavirus 1', 'Polyomavirus SV40', 'SV40 virus', 'Primate polyomavirus', 'Monkey virus', 'DNA tumor virus', 'Viral oncogene', 'SV40 infection', 'Tumor virus', 'Viral etiology', 'Virus']"
"Salted fish, Chinese-style","['Fermented fish', 'Asian salted fish', 'Preserved fish', 'Salt-cured fish', 'Dried salted fish', 'Chinese preserved fish', 'Traditional Asian food', 'Chinese cuisine', 'Fish preservation', 'Asian cuisine', 'Salted seafood', 'Asian seafood', 'Fermented seafood', 'Fish product', 'Salted food']"
Silicone breast implants,"['Breast implants', 'Breast augmentation implants', 'Silicone implants', 'Implantable prostheses', 'Medical devices', 'Surgical implants', 'Biomedical implants', 'Cosmetic implants', 'Plastic surgery implants', 'Reconstruction implants', 'Silicone-filled implants', 'Silicone shells', 'Breast augmentation', 'Cosmetic surgery', 'Implantable devices']"
Slag wool,"['Mineral wool', 'Rock wool', 'Man-made vitreous fiber (MMVF)', 'Synthetic vitreous fiber (SVF)', 'Insulation wool', 'Furnace slag wool', 'Synthetic mineral fiber (SMF)', 'Insulation material', 'Thermal insulation', 'Acoustic insulation', 'Building insulation', 'Fiber insulation', 'Insulation batt', 'Insulation roll', 'Loose-fill insulation']"
"Solar radiation (see Ultraviolet radiation (wavelengths 100–400 nm, encompassing UVA, UVB, and UVC); Ultraviolet radiation from welding; and Ultraviolet-emitting tanning devices)",['<no synonym>']
Soluble cobalt(II) salts,"['Cobaltous salts', 'Cobalt(II) chloride', 'Cobalt(II) sulfate', 'Cobalt(II) nitrate', 'Cobalt(II) acetate', 'Water-soluble cobalt salts', 'Dissolvable cobalt salts', 'Hydrated cobalt salts', 'Cobaltous compounds', 'Divalent cobalt compounds', 'Inorganic cobalt compounds', 'Cobalt compounds', 'Chemical compounds', 'Metallic compounds', 'Chemical salts']"
Soot (as found in occupational exposure of chimney sweeps),"['Black carbon', 'Combustion products', 'Incomplete combustion particles', 'Carbonaceous particles', 'Fine particulate matter', 'Soot particles', 'Smoke particles', 'Air pollution particles', 'Environmental particles', 'Occupational exposure', 'Chimney sweep exposure', 'Inhalable particles', 'Respirable particles', 'Combustion residue', 'Soot deposit']"
Special-purpose fibres such as E-glass and '475' glass fibres,"['Engineered fibres', 'Technical fibres', 'High-performance fibres', 'E-glass fibres', '475 glass fibres', 'Fibreglass', 'Glass fibres', 'Synthetic fibres', 'Textile fibres', 'Industrial fibres', 'Reinforcement fibres', 'Composite materials', 'Fiber composites', 'Fiber reinforced polymers', 'Advanced materials']"
Sulfites,"['Sulfur dioxide derivatives', 'Sulfur-based preservatives', 'Sulfite additives', 'Food preservatives', 'Wine preservatives', 'Antioxidants', 'Reducing agents', 'Sulfiting agents', 'Chemical preservatives', 'Sulfur compounds', 'Food additives', 'Sodium sulfite', 'Potassium sulfite', 'Ammonium sulfite', 'Calcium sulfite']"
Sunlamps and sunbeds (see Ultraviolet-emitting tanning devices),['<no synonym>']
"Surgical implants (see Ceramic implants, Dental materials, Implanted foreign bodies, Metallic implants, Organic polymeric materials, Orthopaedic implants, Polymeric implants, Silicone breast implants)",['<no synonym>']
Tea,"['Camellia sinensis', 'Tea leaves', 'Brewed tea', 'Infusion', 'Black tea', 'Green tea', 'Oolong tea', 'White tea', 'Herbal tea', 'Iced tea', 'Hot tea', 'Tea beverage', 'Tea drink', 'Steeped tea', 'Tea infusion']"
Testosterone (see Androgenic (anabolic) steroids),['<no synonym>']
Tetrakis(hydroxymethyl)phosphonium salts,"['THP salts', 'THP chloride', 'THP sulfate', 'Flame retardants', 'Textile finishing agents', 'Phosphorus compounds', 'Chemical compounds', 'Organic salts', 'Polymer additives', 'Flameproofing agents', 'Textile chemicals', 'Industrial chemicals', 'THPC', 'THPS', 'THPOH']"
"Antimony trisulfide, see Trivalent antimony",['<no synonym>']
Titanium dioxide,"['Titania', 'TiO2', 'Titanium(IV) oxide', 'Anatase', 'Rutile', 'Brookite', 'Pigment White 6', 'CI 77891', 'E171', 'Titanium white', 'Leucoxene', 'Ilmenite']"
"1,2-Bis(chloromethoxy)ethane","['BCME', 'Dichloromethyl ether dimer', 'Formaldehyde bis(chloromethyl) acetal', 'Dichlorodimethyl ether', 'Bis(chloromethyl) ether precursor', 'Dichloroether', '1', '2-Di(chloromethoxy)ethane', 'Ethane', '1', '2-bis(chloromethoxy)-', 'Di(chloromethyl) formal', 'Glycol dichloride']"
Cupferron,"['Ammonium nitrosophenylhydroxylamine', 'N-Nitroso-N-phenylhydroxylamine ammonium salt', 'N-Nitroso-N-phenylbenzenamine ammonium salt', 'Ammonium N-nitroso-N-phenylhydroxylamine', 'N-Phenyl-N-nitrosohydroxylamine ammonium salt', 'Cupferron salt', 'Cupferron reagent', 'Ammonium cupferrate', 'Nitrosophenylhydroxylamine ammonium salt', 'Phenylnitrosohydroxylamine ammonium salt', 'Ammonium nitrosophenylamide', 'Ammonium N-phenyl-N-nitrosohydroxylamine', 'N-Nitroso-N-phenylamine ammonium salt', 'Ammonium phenylnitrosoamine', 'Ammonium phenyl-N-nitroso hydroxylamine']"
N-Phenyl-2-naphthylamine,"['PNA', '2-Naphthylamine', 'N-phenyl-', 'N-Phenyl-beta-naphthylamine', 'N-Phenyl-2-naphthalenamine', '2-(Phenylamino)naphthalene', 'N-phenylnaphthalen-2-amine', '2-naphthylphenylamine', 'Phenyl-beta-naphthylamine', 'Agidol 2', 'Antioxidant D', 'Antioxidant PAN', 'Neozone D', 'Nonox D', 'Vulkanox PAN']"
Phenazopyridine hydrochloride,"['Pyridium', 'Azodine', 'Azogantrisin', 'Azo-Standard', 'Baridium', 'Di-Azo', 'Phenazo', 'Pyridiate', 'Sedural', 'Urodine', 'Urogesic', 'Uropyrine', 'Mallophene', 'Phenazopyridine HCl']"
"2,4,5-Trimethylaniline","['2', '4', '5-Trimethylbenzenamine', '5-Amino-o-xylene', '2', '4', '5-TMA', '2', '4', '5-Trimethylphenylamine', '2', '4', '5-Trimehtylaniline', '2', '4', '5-Trimethyl-aniline', '5-Amino-1', '2-dimethylbenzene', 'Cidine Red Base CI 9', 'Aizen Fast Red Base', 'Fast Red RL Base', 'Aizen Fast Red Base RL']"
Thiram,"['Tetramethylthiuram disulfide', 'Bis(dimethylthiocarbamoyl) disulfide', 'TMTD', 'Fungo Stop', 'Nomersan', 'Pomarsol', 'Spotrete', 'Thiosan', 'Tuads', 'Tulip', 'Arasan', 'Fermide 850', 'Bis(dimethylthiocarbamoyl)disulfide', 'Methyl thiuram disulfide', 'Tetramethyl thioperoxydicarbonic diamide']"
Ziram,"['Zinc dimethyldithiocarbamate', 'Bis(dimethyldithiocarbamato)zinc', 'Zinc bis(dimethyldithiocarbamate)', 'Karbam White', 'Vancide Z6', 'Zerlate', 'Corozate', 'Fuklasin', 'Hexazir', 'Milbam', 'Tricarbamix', 'Z-C Spray', 'Zinc N', 'N-dimethyl dithiocarbamate', 'Zinc dimethylthiocarbamate', 'Zinc bis(dimethylthiocarbamate)', 'Zinc dimethyldithiocarbamate']"
Voriconazole,"['Vfend', '(2R', '3S)-2-(2', '4-Difluorophenyl)-3-(5-fluoropyrimidin-4-yl)-1-(1H-1', '2', '4-triazol-1-yl)butan-2-ol', 'UK-109496', 'alpha-(2', '4-Difluorophenyl)-5-fluoro-alpha-(1H-1', '2', '4-triazol-1-ylmethyl)-4-pyrimidine-methanol', '2-(2', '4-Difluorophenyl)-3-(5-fluoropyrimidin-4-yl)-1-(1H-1', '2', '4-triazol-1-yl)butan-2-ol', 'Voriconazol', '(R', 'S)-Voriconazole', 'UK 109496', '2-(2', '4-Difluorophenyl)-3-(5-fluoropyrimidin-4-yl)-1H-1', '2', '4-triazol-1-yl-2-butanol', '2-[2-(2', '4-Difluorophenyl)-1-methyl-2-(1H-1', '2', '4-triazol-1-yl)ethyl]-5-fluoropyrimidine']"
Shikimic acid,"['(3R', '4S', '5R)-3', '4', '5-Trihydroxy-1-cyclohexene-1-carboxylic acid', 'Shikimate', '(3R', '4S', '5R)-3', '4', '5-Trihydroxycyclohex-1-enecarboxylic acid', '(3R', '4S', '5R)-3', '4', '5-Trihydroxy-cyclohex-1-ene-1-carboxylic acid', '3', '4', '5-Trihydroxy-1-cyclohexene-1-carboxylic acid', 'Shikimic acid', '3', '4', '5-Trihydroxy-cyclohex-1-ene-1-carboxylic acid', '(3R', '4S', '5R)-3', '4', '5-trihydroxycyclohex-1-ene-1-carboxylic acid', 'Shikimisaeure', 'Shikimisäure', '3', '4', '5-Trihydroxy-1-cyclohexene-1-carboxylate', 'Cyclohexene carboxylic acid']"
Cyclamates (sodium cyclamate),"['Sodium cyclohexylsulfamate', 'Sucaryl sodium', 'Cyclamate sodium', 'Sodium cyclamate', 'Sodium cyclohexanesulfamate', 'Assugrin', 'Sucaryl', 'Cyclohexylsulfamic acid sodium salt', 'Sodium N-cyclohexylsulfamate', 'Natriumcyclamat', 'E952', 'Cyclohexanesulphamic acid sodium salt', 'Cyclamic acid sodium salt', 'Sodium N-cyclohexylsulfamate']"
